"Indicador","Fuente","País","Año","Valor","Unidad"
"Capacidad instalada por fuente","Geotermia","América Central","2016","614.56","MW"
"Capacidad instalada por fuente","Eólica","América Central","2016","1026.24","MW"
"Capacidad instalada por fuente","Solar","América Central","2016","624.11","MW"
"Capacidad instalada por fuente","Otros","América Central","2016","6.85","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2016","1778.609","MW"
"Capacidad instalada por fuente","Total","América Central","2016","16673.9245","MW"
"Capacidad instalada por fuente","Hidro","América Central","2017","7004.652","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2017","5798.7575","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2017","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2017","649.56","MW"
"Capacidad instalada por fuente","Eólica","América Central","2017","1134.92","MW"
"Capacidad instalada por fuente","Solar","América Central","2017","854.38","MW"
"Capacidad instalada por fuente","Otros","América Central","2017","6.85","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2017","1833.309","MW"
"Capacidad instalada por fuente","Total","América Central","2017","17282.4285","MW"
"Capacidad instalada por fuente","Hidro","América Central","2018","7140.074","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2018","6389.0085","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2018","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2018","653.56","MW"
"Capacidad instalada por fuente","Eólica","América Central","2018","1196.37","MW"
"Capacidad instalada por fuente","Solar","América Central","2018","1014.89","MW"
"Capacidad instalada por fuente","Otros","América Central","2018","6.85","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2018","1866.72","MW"
"Capacidad instalada por fuente","Total","América Central","2018","18267.4725","MW"
"Capacidad instalada por fuente","Hidro","América Central","2019","7210.876","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2019","6290.291","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2019","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2019","710.5","MW"
"Capacidad instalada por fuente","Eólica","América Central","2019","1209.515","MW"
"Capacidad instalada por fuente","Solar","América Central","2019","1288.651","MW"
"Capacidad instalada por fuente","Otros","América Central","2019","6.85","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2019","1874.585","MW"
"Capacidad instalada por fuente","Total","América Central","2019","18591.268","MW"
"Capacidad instalada por fuente","Hidro","América Central","2020","7357.295","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2020","6303.691","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2020","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2020","707.7","MW"
"Capacidad instalada por fuente","Eólica","América Central","2020","1228.115","MW"
"Capacidad instalada por fuente","Solar","América Central","2020","1380.376985","MW"
"Capacidad instalada por fuente","Otros","América Central","2020","6.85","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2020","1908.685","MW"
"Capacidad instalada por fuente","Total","América Central","2020","18892.712985","MW"
"Capacidad instalada por fuente","Hidro","América Central","2021","7346.624","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2021","6129.226","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2021","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2021","709.68","MW"
"Capacidad instalada por fuente","Eólica","América Central","2021","1242.815","MW"
"Capacidad instalada por fuente","Solar","América Central","2021","1676.93","MW"
"Capacidad instalada por fuente","Otros","América Central","2021","6.3","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2021","1930.615","MW"
"Capacidad instalada por fuente","Total","América Central","2021","19042.19","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2000","110263.51030006","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2000","45628.294244546","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2000","2984","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2000","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2000","33.733133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2000","0.011","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2000","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2000","1912.6815541821","MW"
"Capacidad instalada por fuente","Total","América del Sur","2000","160822.23023179","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2001","112188.17229961","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2001","46182.610535905","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2001","2984","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2001","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2001","46.708133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2001","0.011","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2001","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2001","2071.6129557429","MW"
"Capacidad instalada por fuente","Total","América del Sur","2001","163473.11492426","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2002","113997.05349958","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2002","49748.305976149","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2002","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2002","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2002","22.708133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2002","0.011","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2002","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2002","2483.5651143318","MW"
"Capacidad instalada por fuente","Total","América del Sur","2002","169263.64372306","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2003","117101.62079951","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2003","51923.529734002","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2003","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2003","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2003","22.708133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2003","0.017096","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2003","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2003","3005.0487175751","MW"
"Capacidad instalada por fuente","Total","América del Sur","2003","175064.92448008","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2004","120676.6626","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2004","55540.506480145","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2004","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2004","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2004","49.708133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2004","0.017096","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2004","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2004","3357.040869729","MW"
"Capacidad instalada por fuente","Total","América del Sur","2004","182635.93517887","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2005","123637.1916","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2005","55121.154728399","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2005","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2005","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2005","39.708133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2005","0.056104","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2005","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2005","3501.5339214909","MW"
"Capacidad instalada por fuente","Total","América del Sur","2005","185311.64448689","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2006","126580.60985","MW"
