"Indicador","Fuente"," ISO Alfa3","ISO  N","Codigo","País","Año","Valor","Unidad"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2003","203.044587","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2003","30573.58291566","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2004","15945.008028","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2004","13306.20227542","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2004","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2004","2602.680347","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2004","257.537843","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2004","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2004","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2004","294.5603369976","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2004","32405.988830418","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2005","17141.783548752","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2005","13463.609356729","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2005","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2005","2549.712526","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2005","203.571908","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2005","0.26660972989573","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2005","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2005","1087.9870767889","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2005","34446.931026","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2006","17914.100054107","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2006","14583.849555372","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2006","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2006","2742.7177261499","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2006","266.496666","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2006","0.36988696892095","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2006","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2006","1170.0399096355","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2006","36677.573798234","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2007","17878.144768354","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2007","16066.466527403","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2007","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2007","3004.7898575483","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2007","241.05805282","GWh"
